येस	य े स |
रहय	र ह य |
संसाधनक	स ं स ा ध न क |
अत्यधिक	अ त ् य ध ि क |
दोहन	द ो ह न |
करबाक	क र ब ा क |
चाहि	च ा ह ि |
दर	द र |
जोखिम	ज ो ख ि म |
निवेशक	न ि व े श क |
नुक्सान	न ु क ् स ा न |
सकैत	स क ै त |
कल्टीवेटरकेँ	क ल ् ट ी व े ट र क े ँ |
कल्टी	क ल ् ट ी |
फार	फ ा र |
व्यापार	व ् य ा प ा र |
चरणबद्ध	च र ण ब द ् ध |
विकासक	व ि क ा स क |
कार्यशील	क ा र ् य श ी ल |
धोखाधड़ी	ध ो ख ा ध ड़ ी |
कारण	क ा र ण |
हुनका	ह ु न क ा |
धनराशि	ध न र ा श ि |
हानि	ह ा न ि |
आब	आ ब |
इंटरनेट	इ ं ट र न े ट |
विपरण	व ि प र ण |
चरवाहा	च र व ा ह ा |
जाड़	ज ा ड़ |
कयलक	क य ल क |
अर्थव्यवस्था	अ र ् थ व ् य व स ् थ ा |
आगू	आ ग ू |
जंगलक	ज ं ग ल क |
विस्तार	व ि स ् त ा र |
पानिक	प ा न ि क |
बिनु	ब ि न ु |
जीवनक	ज ी व न क |
परिकल्पना	प र ि क ल ् प न ा |
नहि	न ह ि |
उदेश्य	उ द े श ् य |
जांचक	ज ा ं च क |
कार्यक	क ा र ् य क |
अनुकूल	अ न ु क ू ल |
जलवायु	ज ल व ा य ु |
कोको	क ो क ो |
वृक्ष	व ृ क ् ष |
अमेज़नक	अ म े ज़ न क |
वन	व न |
दैनिक	द ै न ि क |
निवेश	न ि व े श |
करक	क र क |
प्रकार	प ् र क ा र |
मुख्यतः	म ु ख ् य त ः |
दू	द ू |
टा	ट ा |
प्रत्यक्ष	प ् र त ् य क ् ष |
अप्रत्यक्ष	अ प ् र त ् य क ् ष |
पूंजीक	प ू ं ज ी क |
व्यापारी	व ् य ा प ा र ी |
यंत्रक	य ं त ् र क |
आविष्कार	आ व ि ष ् क ा र |
कारीगरक	क ा र ी ग र क |
रोजगार	र ो ज ग ा र |
गंभीर	ग ं भ ी र |
रूप	र ू प |
प्रभावित	प ् र भ ा व ि त |
ग्रामीण	ग ् र ा म ी ण |
क्षेत्र	क ् ष े त ् र |
स्त्रीगण	स ् त ् र ी ग ण |
करैत	क र ै त |
अमेरिकी	अ म े र ि क ी |
अमेरिका	अ म े र ि क ा |
पैघ	प ै घ |
विश्व	व ि श ् व |
राष्ट्रक	र ा ष ् ट ् र क |
ब्राज़ील	ब ् र ा ज़ ी ल |
राष्ट्र	र ा ष ् ट ् र |
विशिष्ठ	व ि श ि ष ् ठ |
दलाल	द ल ा ल |
जिम्मेदारी	ज ि म ् म े द ा र ी |
देल	द े ल |
गेलै	ग े ल ै |
चौकी	च ौ क ी |
तखन	त ख न |
जखन	ज ख न |
खेत	ख े त |
ढेपा	ढ े प ा |
रहैत	र ह ै त |
मत्स्य	म त ् स ् य |
तटीय	त ट ी य |
पारिस्थितिकी	प ा र ि स ् थ ि त ि क ी |
तंत्र	त ं त ् र |
बाजारक	ब ा ज ा र क |
दाम	द ा म |
अनियमितताक	अ न ि य म ि त त ा क |
संपत्ति	स ं प त ् त ि |
खरीद	ख र ी द |
लाभ	ल ा भ |
निर्वाह	न ि र ् व ा ह |
उपजा	उ प ज ा |
बड़	ब ड़ |
कम	क म |
खाता	ख ा त ा |
डाक	ड ा क |
बचत	ब च त |
खोइल	ख ो इ ल |
विभिन्न	व ि भ ि न ् न |
वानिकी	व ा न ि क ी |
जमानती	ज म ा न त ी |
ऋणक	ऋ ण क |
गिरवी	ग ि र व ी |
पात	प ा त |
सेंसर	स े ं स र |
उपकरण	उ प क र ण |
जकर	ज क र |
प्रयोग	प ् र य ो ग |
पटौनीक	प ट ौ न ी क |
प्रतिनिधि	प ् र त ि न ि ध ि |
ग्राहक	ग ् र ा ह क |
सम्बंधित	स म ् ब ं ध ि त |
जानकारी	ज ा न क ा र ी |
धनक	ध न क |
स्वयं	स ् व य ं |
रणनीति	र ण न ी त ि |
बना	ब न ा |
बाजार	ब ा ज ा र |
चाही	च ा ह ी |
रसायन	र स ा य न |
संस्थान	स ं स ् थ ा न |
रसायनक	र स ा य न क |
उत्पादक	उ त ् प ा द क |
खनन	ख न न |
देखू	द े ख ू |
समुद्री	स म ु द ् र ी |
माँछक	म ा ँ छ क |
सामग्री	स ा म ग ् र ी |
बिक्रीक	ब ि क ् र ी क |
लेलैन	ल े ल ै न |
व्याप्ति	व ् य ा प ् त ि |
अनुपात	अ न ु प ा त |
अर्थ	अ र ् थ |
बोझ	ब ो झ |
मंडी	म ं ड ी |
प्रणाली	प ् र ण ा ल ी |
व्यवस्था	व ् य व स ् थ ा |
निर्माण	न ि र ् म ा ण |
मार्च	म ा र ् च |
अप्रैल	अ प ् र ै ल |
मास	म ा स |
शुरू	श ु र ू |
सीड	स ी ड |
ड्रील	ड ् र ी ल |
यंत्र	य ं त ् र |
हस्तचालित	ह स ् त च ा ल ि त |
स्वचालित	स ् व च ा ल ि त |
नाव	न ा व |
बनबय	ब न ब य |
भवनक	भ व न क |
भीतरका	भ ी त र क ा |
भाग	भ ा ग |
गद्दी	ग द ् द ी |
भेड़क	भ े ड़ क |
ऊन	ऊ न |
शाल	श ा ल |
आदि	आ द ि |
पूर्तिक	प ू र ् त ि क |
हरित	ह र ि त |
क्रांति	क ् र ा ं त ि |
चुकबै	च ु क ब ै |
असमर्थ	अ स म र ् थ |
नीलामी	न ी ल ा म ी |
प्रधान	प ् र ध ा न |
मंत्री	म ं त ् र ी |
सुरक्षित	स ु र क ् ष ि त |
कीट	क ी ट |
प्रकोप	प ् र क ो प |
दुर्बल	द ु र ् ब ल |
शहरी	श ह र ी |
विक्रेता	व ि क ् र े त ा |
मधुर	म ध ु र |
तरबूज	त र ब ू ज |
देबा	द े ब ा |
क	क |
आश्वासन	आ श ् व ा स न |
तापमान	त ा प म ा न |
कीड़ा	क ी ड़ ा |
प्रसंस्करण	प ् र स ं स ् क र ण |
संगठन	स ं ग ठ न |
धनवृद्धि	ध न व ृ द ् ध ि |
संघक	स ं घ क |
स्थापना	स ् थ ा प न ा |
केलक	क े ल क |
जैविक	ज ै व ि क |
बागवानी	ब ा ग व ा न ी |
लोकक	ल ो क क |
विपरीत	व ि प र ी त |
प्रभाव	प ् र भ ा व |
पड़ैत	प ड़ ै त |
सामुदायिक	स ा म ु द ा य ि क |
खास	ख ा स |
समुदायक	स म ु द ा य क |
द्वारा	द ् व ा र ा |
बनाओल	ब न ा ओ ल |
चलाओल	च ल ा ओ ल |
आय	आ य |
बिक्री	ब ि क ् र ी |
सार्वजनिक	स ा र ् व ज न ि क |
वित्त	व ि त ् त |
अवयव	अ व य व |
पशुपालन	प श ु प ा ल न |
प्रचलन	प ् र च ल न |
नकद	न क द |
बिका	ब ि क ा |
सभके	स भ क े |
सरकारी	स र क ा र ी |
विनियमन	व ि न ि य म न |
आधार	आ ध ा र |
करअ	क र अ |
फसिलक	फ स ि ल क |
पहुँचा	प ह ु ँ च ा |
अंतर्राष्ट्रीय	अ ं त र ् र ा ष ् ट ् र ी य |
करधन	क र ध न |
संबंधी	स ं ब ं ध ी |
कृषकक	क ृ ष क क |
आवश्यता	आ व श ् य त ा |
करैतअछि	क र ै त अ छ ि |
बँसहा	ब ँ स ह ा |
कागजक	क ा ग ज क |
मुख्य	म ु ख ् य |
सम्बन्धी	स म ् ब न ् ध ी |
पाबैन	प ा ब ै न |
मिथिला	म ि थ ि ल ा |
समय	स म य |
भार	भ ा र |
प्रसन्न	प ् र स न ् न |
घर	घ र |
माटि	म ा ट ि |
जरूरी	ज र ू र ी |
सामान्यतः	स ा म ा न ् य त ः |
एकर	ए क र |
बीहनि	ब ी ह न ि |
कें	क े ं |
छेद	छ े द |
करि	क र ि |
मुर्गीक	म ु र ् ग ी क |
चारा	च ा र ा |
मानवो	म ा न व ो |
हानिकारक	ह ा न ि क ा र क |
लग	ल ग |
सॉवरेन	स ॉ व र े न |
वेल्थ	व े ल ् थ |
ओकर	ओ क र |
आर्थिक	आ र ् थ ि क |
राजकोषीय	र ा ज क ो ष ी य |
महत्व	म ह त ् व |
बेसिक	ब े स ि क |
मुफ्त	म ु फ ् त |
देश	द े श |
भरि	भ र ि |
सुविधाजनक	स ु व ि ध ा ज न क |
बैंकिंग	ब ै ं क ि ं ग |
भेटै	भ े ट ै |
ग्राहकक	ग ् र ा ह क क |
करै	क र ै |
प्रबंधन	प ् र ब ं ध न |
दुर्घटना	द ु र ् घ ट न ा |
आदिक	आ द ि क |
स्थिति	स ् थ ि त ि |
पालतू	प ा ल त ू |
सं	स ं |
इलाज	इ ल ा ज |
भारी	भ ा र ी |
मदति	म द त ि |
मुर्गी	म ु र ् ग ी |
लागत	ल ा ग त |
व्यवसाय	व ् य व स ा य |
छियै	छ ि य ै |
मध्यस्थ	म ध ् य स ् थ |
या	य ा |
बिचौलिया	ब ि च ौ ल ि य ा |
संख्या	स ं ख ् य ा |
घटेबाक	घ ट े ब ा क |
नया	न य ा |
उद्यम	उ द ् य म |
व्यक्ति	व ् य क ् त ि |
पंजीकरणक	प ं ज ी क र ण क |
बाद	ब ा द |
लए	ल ए |
संबंधि	स ं ब ं ध ि |
विदेश	व ि द े श |
तार	त ा र |
पठौलखिन	प ठ ौ ल ख ि न |
जलक	ज ल क |
वितरण	व ि त र ण |
वातावरण	व ा त ा व र ण |
जलवायुक	ज ल व ा य ु क |
विशेष	व ि श े ष |
भूमिका	भ ू म ि क ा |
अनुदान	अ न ु द ा न |
बनौलक	ब न ौ ल क |
प्राप्ति	प ् र ा प ् त ि |
डकैती	ड क ै त ी |
अनेको	अ न े क ो |
सजा	स ज ा |
डेबिट	ड े ब ि ट |
कार्ड	क ा र ् ड |
ध्यानपूर्वक	ध ् य ा न प ू र ् व क |
संकट	स ं क ट |
सम्भावना	स म ् भ ा व न ा |
उद्वहन	उ द ् व ह न |
सिचाई	स ि च ा ई |
विधि	व ि ध ि |
दुर्गम	द ु र ् ग म |
पहाड़ी	प ह ा ड़ ी |
आंत	आ ं त |
तैयार	त ै य ा र |
रेशाक	र े श ा क |
ढोलक	ढ ो ल क |
छाड़य	छ ा ड़ य |
दक्षिण	द क ् ष ि ण |
केराक	क े र ा क |
चरखाक	च र ख ा क |
सहयोग	स ह य ो ग |
सूत	स ू त |
मुद्रा	म ु द ् र ा |
मूल्यक	म ू ल ् य क |
शस्यक	श स ् य क |
विकासशील	व ि क ा स श ी ल |
भागक	भ ा ग क |
बजारक	ब ज ा र क |
वैध	व ै ध |
दूध	द ू ध |
उद्योग	उ द ् य ो ग |
रोजगारक	र ो ज ग ा र क |
सृजन	स ृ ज न |
झपबाक	झ प ब ा क |
पन्नीक	प न ् न ी क |
रखवाली	र ख व ा ल ी |
एकल	ए क ल |
पोषक	प ो ष क |
तत्व	त त ् व |
अमोनियम	अ म ो न ि य म |
नाइट्रेटक	न ा इ ट ् र े ट क |
नाम	न ा म |
सुविधाक	स ु व ि ध ा क |
संरक्षण	स ं र क ् ष ण |
पत्ता	प त ् त ा |
ज्ञानेंद्री	ज ् ञ ा न े ं द ् र ी |
लाभकर	ल ा भ क र |
सिद्ध	स ि द ् ध |
संयुक्तक	स ं य ु क ् त क |
यन्त्र	य न ् त ् र |
महत्वपूर्ण	म ह त ् व प ू र ् ण |
रोधक	र ो ध क |
नेबो	न े ब ो |
छाल	छ ा ल |
सोन	स ो न |
अयलापर	अ य ल ा प र |
अवसर	अ व स र |
बढ़त	ब ढ़ त |
टमाटर	ट म ा ट र |
मुख	म ु ख |
रोग	र ो ग |
उत्पत्ति	उ त ् प त ् त ि |
वर्षा	व र ् ष ा |
ऋतू	ऋ त ू |
बांसक	ब ा ं स क |
कटाई	क ट ा ई |
भूमि	भ ू म ि |
उपजाऊपन	उ प ज ा ऊ प न |
पर्यावरण	प र ् य ा व र ण |
दरबा	द र ब ा |
लोहाक	ल ो ह ा क |
कर्मचारी	क र ् म च ा र ी |
स्वास्थ	स ् व ा स ् थ |
करौने	क र ौ न े |
सुविधा	स ु व ि ध ा |
सरलता	स र ल त ा |
गोबरक	ग ो ब र क |
इंधनक	इ ं ध न क |
जंगली	ज ं ग ल ी |
घास	घ ा स |
निवारणक	न ि व ा र ण क |
परिश्रम	प र ि श ् र म |
एहि	ए ह ि |
खढ़	ख ढ़ |
पतवार	प त व ा र |
काटबाक	क ा ट ब ा क |
तेज	त े ज |
धार	ध ा र |
ब्लेड	ब ् ल े ड |
ई	ई |
टंकी	ट ं क ी |
परत	प र त |
कारणें	क ा र ण े ं |
पारस्परिक	प ा र स ् प र ि क |
पूर्व	प ू र ् व |
विशेषज्ञ	व ि श े ष ज ् ञ |
परामर्श	प र ा म र ् श |
कअ	क अ |
लेबाक	ल े ब ा क |
नरम	न र म |
आरी	आ र ी |
अंटार्टिका	अ ं ट ा र ् ट ि क ा |
अधिकांश	अ ध ि क ा ं श |
स्त्रोत	स ् त ् र ो त |
अठारह	अ ठ ा र ह |
पैंसठ	प ै ं स ठ |
वर्षक	व र ् ष क |
एन.पी.एस	ए न . प ी . ए स |
शामिल	श ा म ि ल |
भए	भ ए |
स्थानीय	स ् थ ा न ी य |
निकाय	न ि क ा य |
पहुंच	प ह ु ं च |
सकैए	स क ै ए |
प्रतिदिन	प ् र त ि द ि न |
करीब	क र ी ब |
तीस	त ी स |
लीटर	ल ी ट र |
मिथेन	म ि थ े न |
गैस	ग ै स |
अंतरराष्ट्रीय	अ ं त र र ा ष ् ट ् र ी य |
मौद्रिक	म ौ द ् र ि क |
प्रवाह	प ् र व ा ह |
दूटा	द ू ट ा |
मुद्राक	म ु द ् र ा क |
बीच	ब ी च |
विदेशी	व ि द े श ी |
विनिमय	व ि न ि म य |
संबंधित	स ं ब ं ध ि त |
रहै	र ह ै |
मधुमाछी	म ध ु म ा छ ी |
एकरा	ए क र ा |
कृत्रिम	क ृ त ् र ि म |
कैल	क ै ल |
कॉरपोरेट	क ॉ र प ो र े ट |
कंपनीक	क ं प न ी क |
उद्देश्य	उ द ् द े श ् य |
बढ़ेनाय	ब ढ़ े न ा य |
डिजिटल	ड ि ज ि ट ल |
वॉलेट	व ॉ ल े ट |
हस्तांतरित	ह स ् त ा ं त र ि त |
स्वस्थ	स ् व स ् थ |
रानी	र ा न ी |
माछी	म ा छ ी |
तीन	त ी न |
हजार	ह ज ा र |
अंडा	अ ं ड ा |
दै	द ै |
मुहाना	म ु ह ा न ा |
बंद	ब ं द |
ललकी	ल ल क ी |
मिर्च	म ि र ् च |
सबके	स ब क े |
ऊ	ऊ |
पेट	प े ट |
जलन	ज ल न |
दर्द	द र ् द |
दस्त	द स ् त |
बनि	ब न ि |
कूपन	क ू प न |
सामान	स ा म ा न |
निर्माता	न ि र ् म ा त ा |
जारी	ज ा र ी |
अथवा	अ थ व ा |
खुदरा	ख ु द र ा |
बिक्रेता	ब ि क ् र े त ा |
मशरूम	म श र ू म |
कवक	क व क |
बनल	ब न ल |
बीजाणु	ब ी ज ा ण ु |
युक्त	य ु क ् त |
फरै	फ र ै |
पिंड	प ि ं ड |
जमीन	ज म ी न |
ऊपर	ऊ प र |
उगै	उ ग ै |
टूटल	ट ू ट ल |
गहूम	ग ह ू म |
उच्च	उ च ् च |
प्रोटीन	प ् र ो ट ी न |
आहार	आ ह ा र |
जाहि	ज ा ह ि |
वसा	व स ा |
मुद्रण	म ु द ् र ण |
लेखन	ल े ख न |
पैकेजिंग	प ै क े ज ि ं ग |
व्यावसायिक	व ् य ा व स ा य ि क |
आई.आर.एस	आ ई . आ र . ए स |
केंद्र	क े ं द ् र |
संग्रहण	स ं ग ् र ह ण |
प्रशासन	प ् र श ा स न |
जिम्मेदार	ज ि म ् म े द ा र |
पुरना	प ु र न ा |
पत्ती	प त ् त ी |
तोड़ला	त ो ड़ ल ा |
चायक	च ा य क |
खराब	ख र ा ब |
आलूक	आ ल ू क |
कियैकि	क ि य ै क ि |
उत्पन्न	उ त ् प न ् न |
मारै	म ा र ै |
क्रेडिट	क ् र े ड ि ट |
मुनीम	म ु न ी म |
वकील	व क ी ल |
एक्चुअरी	ए क ् च ु अ र ी |
आकलन	आ क ल न |
कर्ता	क र ् त ा |
बीमारी	ब ी म ा र ी |
तुरंत	त ु र ं त |
चिकित्सक	च ि क ि त ् स क |
करायब	क र ा य ब |
रिजर्व	र ि ज र ् व |
जमाकर्ता	ज म ा क र ् त ा |
हित	ह ि त |
लिए	ल ि ए |
बेहतर	ब े ह त र |
कदम	क द म |
उठेलकै	उ ठ े ल क ै |
पारंपरिक	प ा र ं प र ि क |
दिन	द ि न |
बेर	ब े र |
दुहल	द ु ह ल |
अय	अ य |
योजनाक	य ो ज न ा क |
तहत	त ह त |
बांड	ब ा ं ड |
इकाइ	इ क ा इ |
भेटैत	भ े ट ै त |
छैक	छ ै क |
बिया	ब ि य ा |
समुद्रक	स म ु द ् र क |
तल	त ल |
बुनल	ब ु न ल |
हर	ह र |
वर्ष	व र ् ष |
जइसे	ज इ स े |
बदलावक	ब द ल ा व क |
बारे	ब ा र े |
पता	प त ा |
चलि	च ल ि |
भूमिहीन	भ ू म ि ह ी न |
साहूकार	स ा ह ू क ा र |
शोषण	श ो ष ण |
अउलुआ	अ उ ल ु आ |
व्रत	व ् र त |
स्वरूप	स ् व र ू प |
भोजन	भ ो ज न |
लेलैत	ल े ल ै त |
अवायवीय	अ व ा य व ी य |
अपघटनक	अ प घ ट न क |
जैव	ज ै व |
भअ	भ अ |
सकल	स क ल |
वीर्यसेचन	व ी र ् य स े च न |
बछड़ा	ब छ ड़ ा |
जन्म	ज न ् म |
स्नानागार	स ् न ा न ा ग ा र |
शौचालय	श ौ च ा ल य |
प्रौद्योगिकी	प ् र ौ द ् य ो ग ि क ी |
सुधारक	स ु ध ा र क |
संहार	स ं ह ा र |
विरुद्ध	व ि र ु द ् ध |
प्रदर्शन	प ् र द र ् श न |
चारिम	च ा र ि म |
पंद्रह	प ं द ् र ह |
पंजीकरण	प ं ज ी क र ण |
अनिवार्य	अ न ि व ा र ् य |
बल्क	ब ल ् क |
टैंक	ट ै ं क |
ठीक	ठ ी क |
सफाइ	स फ ा इ |
होबाक	ह ो ब ा क |
अपना	अ प न ा |
बियालीस	ब ि य ा ल ी स |
प्रजाति	प ् र ज ा त ि |
नस्ल	न स ् ल |
पंजीकृत	प ं ज ी क ृ त |
कपड़ा	क प ड़ ा |
